epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,6373.72,0.41727,0.3268,1.11683,0.99638,0.99174,0.99157,0.95929,0.24888,0.17013,0.95022,0.0004735,0.0004735,0.0004735
119,6427.33,0.42124,0.33085,1.11608,0.99661,0.99189,0.9911,0.95883,0.2516,0.16741,0.95345,0.000469,0.000469,0.000469
120,6480.89,0.42274,0.32548,1.1211,0.99694,0.99144,0.99167,0.95861,0.25371,0.1712,0.95731,0.0004645,0.0004645,0.0004645
121,6534.38,0.421,0.32731,1.1149,0.9977,0.99099,0.99173,0.95961,0.24777,0.17127,0.94911,0.00046,0.00046,0.00046
122,6587.9,0.42078,0.32023,1.12087,0.99684,0.99155,0.99143,0.961,0.24656,0.16651,0.94644,0.0004555,0.0004555,0.0004555
123,6641.3,0.41142,0.32575,1.11151,0.99833,0.9896,0.99185,0.96181,0.24574,0.16315,0.94644,0.000451,0.000451,0.000451
124,6694.87,0.41566,0.33026,1.117,0.99819,0.99108,0.99215,0.96255,0.24497,0.16707,0.94679,0.0004465,0.0004465,0.0004465
125,6748.43,0.41443,0.32075,1.11197,0.99831,0.99133,0.99159,0.96212,0.24424,0.16456,0.94493,0.000442,0.000442,0.000442
126,6801.97,0.40791,0.31676,1.10889,0.99708,0.99144,0.99136,0.96129,0.24446,0.16448,0.94483,0.0004375,0.0004375,0.0004375
127,6855.71,0.40416,0.32205,1.11,0.99817,0.99123,0.99151,0.9623,0.2444,0.16537,0.94371,0.000433,0.000433,0.000433
128,6909.15,0.41069,0.31578,1.1083,0.99837,0.99131,0.99185,0.9613,0.24461,0.16283,0.94482,0.0004285,0.0004285,0.0004285
129,6962.77,0.40793,0.31452,1.11147,0.99832,0.99135,0.99148,0.96081,0.24361,0.16338,0.94574,0.000424,0.000424,0.000424
130,7016.22,0.40852,0.31766,1.11202,0.998,0.99144,0.99214,0.9626,0.24197,0.16449,0.94315,0.0004195,0.0004195,0.0004195
131,7069.8,0.41402,0.32277,1.10789,0.99781,0.9907,0.99251,0.96248,0.24335,0.16588,0.9429,0.000415,0.000415,0.000415
132,7123.11,0.40604,0.31706,1.10667,0.99762,0.99144,0.99221,0.96379,0.24282,0.16268,0.94482,0.0004105,0.0004105,0.0004105
133,7177,0.40802,0.31653,1.10955,0.99704,0.99038,0.99251,0.96351,0.24134,0.16149,0.94337,0.000406,0.000406,0.000406
134,7230.57,0.40443,0.31485,1.10601,0.99645,0.99072,0.99231,0.96321,0.23958,0.16519,0.94047,0.0004015,0.0004015,0.0004015
135,7284.08,0.41353,0.32604,1.11269,0.99683,0.99111,0.99213,0.96269,0.24041,0.16503,0.94113,0.000397,0.000397,0.000397
136,7337.6,0.40477,0.31544,1.10808,0.99673,0.99157,0.99236,0.9616,0.24055,0.16346,0.94349,0.0003925,0.0003925,0.0003925
137,7390.98,0.40302,0.31907,1.10878,0.99724,0.99157,0.99279,0.96155,0.24036,0.16238,0.94282,0.000388,0.000388,0.000388
138,7444.39,0.40756,0.31266,1.10751,0.99748,0.99158,0.99296,0.9618,0.24,0.16218,0.94079,0.0003835,0.0003835,0.0003835
139,7498.02,0.40134,0.31154,1.10543,0.99749,0.99158,0.99278,0.96152,0.23901,0.161,0.93968,0.000379,0.000379,0.000379
140,7551.57,0.3936,0.30555,1.09931,0.99768,0.99135,0.9927,0.96269,0.23807,0.16094,0.93919,0.0003745,0.0003745,0.0003745
141,7604.99,0.40416,0.31276,1.10612,0.99578,0.99277,0.99262,0.96235,0.23849,0.1609,0.94042,0.00037,0.00037,0.00037
142,7658.91,0.39501,0.30574,1.10138,0.9974,0.99253,0.99269,0.96246,0.23927,0.16087,0.94155,0.0003655,0.0003655,0.0003655
143,7712.49,0.39501,0.30505,1.09995,0.99673,0.99236,0.99265,0.96257,0.23948,0.16313,0.94037,0.000361,0.000361,0.000361
144,7766.19,0.40343,0.31261,1.10572,0.99769,0.99145,0.99258,0.96343,0.2403,0.16172,0.94133,0.0003565,0.0003565,0.0003565
145,7819.63,0.39464,0.29705,1.10063,0.99718,0.99061,0.99245,0.96316,0.23928,0.15983,0.94213,0.000352,0.000352,0.000352
146,7873,0.40093,0.31242,1.10378,0.99741,0.99097,0.99263,0.9625,0.23659,0.16036,0.94017,0.0003475,0.0003475,0.0003475
147,7926.61,0.39304,0.30525,1.10066,0.99725,0.99062,0.99229,0.96166,0.23562,0.15979,0.93917,0.000343,0.000343,0.000343
148,7980.04,0.39264,0.29852,1.09722,0.99593,0.99177,0.99206,0.96148,0.2354,0.1588,0.93968,0.0003385,0.0003385,0.0003385
149,8033.38,0.3938,0.30237,1.0968,0.99656,0.99284,0.99217,0.96069,0.23657,0.15776,0.93952,0.000334,0.000334,0.000334
150,8086.57,0.397,0.30465,1.09961,0.99672,0.99272,0.99299,0.96169,0.23641,0.1581,0.9382,0.0003295,0.0003295,0.0003295
151,8139.73,0.39653,0.30501,1.10356,0.99698,0.99179,0.99315,0.96213,0.23711,0.16002,0.9374,0.000325,0.000325,0.000325
152,8192.99,0.40372,0.30973,1.10578,0.99742,0.99109,0.99223,0.96186,0.23572,0.15936,0.93475,0.0003205,0.0003205,0.0003205
153,8246.2,0.39781,0.30219,1.10575,0.99575,0.9922,0.9922,0.96272,0.2361,0.16095,0.93448,0.000316,0.000316,0.000316
154,8299.41,0.38935,0.29733,1.09464,0.99735,0.991,0.99241,0.96279,0.23607,0.16189,0.93404,0.0003115,0.0003115,0.0003115
155,8352.67,0.39094,0.29852,1.09903,0.99828,0.98961,0.99236,0.96312,0.23448,0.15821,0.93357,0.000307,0.000307,0.000307
156,8406,0.38817,0.29793,1.09353,0.99787,0.98961,0.99269,0.96381,0.23323,0.15821,0.9318,0.0003025,0.0003025,0.0003025
157,8459.49,0.39819,0.30617,1.10497,0.99664,0.9915,0.99271,0.96344,0.23376,0.1558,0.93349,0.000298,0.000298,0.000298
158,8512.72,0.38637,0.29907,1.09525,0.99717,0.99085,0.9927,0.96298,0.2331,0.15597,0.93173,0.0002935,0.0002935,0.0002935
159,8566.07,0.39399,0.29602,1.10039,0.99669,0.99094,0.99227,0.96279,0.23398,0.15662,0.93228,0.000289,0.000289,0.000289
160,8619.43,0.38432,0.29751,1.09336,0.99828,0.99043,0.9922,0.96324,0.23296,0.15564,0.93196,0.0002845,0.0002845,0.0002845
161,8673.23,0.39492,0.30009,1.10252,0.99669,0.99074,0.99241,0.96273,0.23311,0.15723,0.93131,0.00028,0.00028,0.00028
